Date,Price
2021/4/2,11391.08
2021/4/9,11417.83
2021/4/16,11583.3
2021/4/23,11539.66
2021/4/30,11451.18
2021/5/7,11776.83
2021/5/14,11867.34
2021/5/21,12102.25
2021/5/28,12121.68
2021/6/4,12098.74
2021/6/11,12010.42
2021/6/18,11379.79
2021/6/25,11500.85
2021/7/2,11573.79
2021/7/9,11717.56
2021/7/16,11735.65
2021/7/23,11680.51
2021/7/30,11718.02
2021/8/6,11428.21
2021/8/13,11523.24
2021/8/20,11580.72
2021/8/27,11763.86
2021/9/3,11793.76
2021/9/10,11522.16
2021/9/17,11330.11
2021/9/24,11295.95
2021/10/1,11350.41
2021/10/8,11324.93
2021/10/15,11376.85
2021/10/22,11444.36
2021/10/29,11423.32
2021/11/5,11633.47
2021/11/12,11894.25
2021/11/19,11796.27
2021/11/26,11430.15
2021/12/3,11376.5
2021/12/10,11354.62
2021/12/17,11484.81
2021/12/24,11480.8
2021/12/31,11624.48
2022/1/7,11459.01
2022/1/14,11547.05
2022/1/21,11618.76
2022/1/28,11398.6
2022/2/4,11497.83
2022/2/11,11829.32
2022/2/18,12007.95
2022/2/25,11937.61
2022/3/4,12447.06
2022/3/11,12578.9
2022/3/18,12219.84
2022/3/25,12447.01
2022/4/1,12245.73
2022/4/8,12372.04
2022/4/15,12570.98
2022/4/22,12564.66
2022/4/29,12609.92
2022/5/6,12588.07
2022/5/13,12302.14
2022/5/20,12334.98
2022/5/27,12415.42
2022/6/3,12329.59
2022/6/10,12556.24
2022/6/17,12357.94
2022/6/24,12210.34
2022/7/1,12118.74
2022/7/8,11661.97
2022/7/15,11540.71
2022/7/22,11662.93
2022/7/29,11898.83
2022/8/5,11999.76
2022/8/12,12139.81
2022/8/19,11917.87
2022/8/26,11942.94
2022/9/2,11809.3
2022/9/9,11887.66
2022/9/16,11698.76
2022/9/23,11717.7
2022/9/30,11814.4
2022/10/7,12067.44
2022/10/14,11822.81
2022/10/21,12000.28
2022/10/28,11903.01
2022/11/4,12076.01
2022/11/11,12561.98
2022/11/18,12460.97
2022/11/25,12573.83
2022/12/2,12624.78
2022/12/9,12502.49
2022/12/16,12492.46
2022/12/23,12565.92
2022/12/30,12579.53
2023/1/6,12769.28
2023/1/13,12867.87
2023/1/20,13066.17
2023/1/27,13060.74
2023/2/3,12634.36
2023/2/10,12699.84
2023/2/17,12649.03
2023/2/24,12601.21
2023/3/3,12818.1
2023/3/10,12886.92
2023/3/17,13627.68
2023/3/24,13583.84
2023/3/31,13522.45
2023/4/7,13799.18
2023/4/14,13776.71
2023/4/21,13668.35
2023/4/28,13746.32
2023/5/5,13950.22
2023/5/12,13978.23
2023/5/19,13869.58
2023/5/26,13747.93
2023/6/2,13800.98
2023/6/9,13979.8
2023/6/16,13943.73
2023/6/23,13790.69
2023/6/30,13919.02
2023/7/7,13909.18
2023/7/14,13961.84
2023/7/21,14097.1
2023/7/28,14019.65
2023/8/4,13923.85
2023/8/11,13846.56
2023/8/18,13755
2023/8/25,13949.21
2023/9/1,14085.86
2023/9/8,14092.73
2023/9/15,14000.1
2023/9/22,14050.22
2023/9/29,13497.91
2023/10/6,13383.07
2023/10/13,14086.19
2023/10/20,14495.3
2023/10/27,14679.48
2023/11/3,14546.11
2023/11/10,14118.74
2023/11/17,14279.57
2023/11/24,14304.82
2023/12/1,14786.18
2023/12/8,14334.66
2023/12/15,14363.78
2023/12/22,14640.75
2023/12/29,14639.49
2024/1/5,14595.6
2024/1/12,14670.27
2024/1/19,14587.54
2024/1/26,14485.83
2024/2/2,14651.79
2024/2/9,14563.25
2024/2/16,14481.56
2024/2/23,14648.5
2024/3/1,14987.11
2024/3/8,15658.93
2024/3/15,15523.2
2024/3/22,15653.35
2024/3/28,16040.47
2024/4/5,16792.21
